зА реку
нА реку
зА город
нЕ было
нЕ был
нЕ были
пОд ноги
зА уши
Из дому
на крюкУ
ни фигА
по утрУ
зА день
нА ночь
пО фиг
нА спор
нА пол
ни хренА
пО лбу
зА морем
пО морю
нА спину
нА слово
пО небу
за бортОм
нА фиг
зА ноги
нА зиму
друг дрУга
друг дрУгу
друг дрУгом
пО лесу
в ночИ
к утрУ
в лЕту
зА борт
зА нос
в мирУ
для начАла
с начАла
Об пол
зА руку
нА хрен
нА хуй
зА ухо
пО уху
нА сердце
зА зиму
с горлА
сО смеху
на шАру
по грязИ
нЕ фиг
пОд руку
нА руку
пО уши
на хЕр
с утрА
на мазИ
со счетОв
зА душу
нИ было
нИ был
нИ были
ни хуЯ
вО поле
на мелИ
в мирУ
бЕз толку
нА ухо
пО полу
нА ноги
нА стену
зА спину
до кровИ
из горлА
с бортА
прИ смерти
нА руки
вО время
до упАду
с хуЯ
нА год
нА день
