Я скажу вам откровенно: | Он пришёл – армагеддон! | Присмотритесь и узрите | Нашей жизни моветон! # Молитвы Апостолу Андрею Первозванному</s>
Бродила в Лесу огневая волчица, | Зарёй поджигая прозрачный подлесок, | И так надрывались безумные птицы, | Что звёзды посыпались в тучи, как в тесто. # Бессонница</s>
здесь имелась ввиду обратная сторона луны... | из перекрестной переписки..... | распознавание лишь в сжиженном кристалле стиха | как ни странно | да. # душа моя, светлица и заря</s>
Стал Шуйский также царской жертвой, | Его казнил он без суда, | Он с детства был не милосерден, | Таким остался навсегда. # Сказание о земле Русской</s>
Не будет конца восхваления списку, | Тоскую всегда об одном; | Люблю я твою запердетую писку, | Которая пахнет говном. # Ода о любви</s>
Вот, что понял я, в итоге, | К чему люд привёл прогресс! | Вёл по гибельной дороге. | На которой ждал всех Бес! # Песталоцци!</s>
Кричит от голода ребенок | и валится от усталости рабочий, | а у них в подвалах бочки, | которые они опустошают в гонке. # Власть народу</s>
Все Великие Умы перед Богом нашим | Склонены ! | ++ веруют, веруют, веруют ++ | Молятся, живут праведно | значит порядочно и … красиво. # Бог может ВСЁ!</s>
И это - страшная потеря: | Тоска, отчаяние, беда | Сжимают страхом нашу душу- | Отвержены? Как, навсегда? # Осознание</s>
А если нет, то небо треснет, | Пойдёт  земля «девятым валом» | И океан на сушу ляжет, | Туда, где сроду не бывал он! # Молитвы Блаж Пелагии Марии Параскеве Дивеевским</s>
Вся жизнь проходит во сне Изначалья, | А Он Ей снится лишь в полные луны, | Где губы их навсегда обвенчались, | Родив вселенской Пустоты, необъятные дюны. # Тебя Нет и в тоже время Ты - Есть Пустота</s>
И придется поехать к тебе, | И придется сменить свою веру, | Это лучший для Счастья ответ -- | Выбрать нам радикальную меру. # Выбрать нам радикальную меру</s>
Пускай же всё умрёт во мне. Так лучше. | Ведь это самый главной твой совет. | Но лишь слеза, оставшись в серой туче, | Рискнула сохранить любви нечёткий след. # Слеза</s>
Дождливым утром снова улицы пусты, | И льются реки по мостам и мостовым. | Тела поврозь - на расстояньи полверсты: | Разочарованы, в разладе я и ты. | Постель холодная не помнит теплоты. # Все мои переводы из Райнера Мария Рильке</s>
Я испечён уже давно, | Хотя, конечно, всё равно, | Что об меня, припомнив мать, | Вы зубы можете сломать! # Наполеоны</s>
Всё лишнее долой ,убрать | Давно закончить нужно споры | Прекрасней город должен стать | Пока лишь только разговоры # Урбанистический пейзаж</s>
Но вот земля уже близка | И в гавани покой, | Долой унынье и тоска, | Возрадуйся душой! # На корабле...</s>
В ней - будто перьями - проплыли облака, | Весенний луч задорно искупался. | Несётся к морю бурная река | И толстый лёд, весне на милость, сдался. # Пришло тепло</s>
Еще мороз и вьюги вспышки, | И наледь снежной кутерьмы, | А во дворе уже мальчишки | Сжигают чучело Зимы. # С Прощёным воскресением, со светлой Масленицей!</s>
Нагляделся мой нелюбимый, | Как вытекали женские беды. | Не хочу быть телом раздетым, | Я хочу быть женщиной целой. # Ода</s>
Чтоб вопреки дождям и вьюгам | В душе взрастить цветок Любви ! | Скажи, Горацио, будь другом, | Что выше, чем огонь в крови? # Пора любить</s>
Травинки усталых ресничек | Умело в подол не глядят. | Мадам, уже нет даже птичек, | Что нас поутру пробудЯт. # Мадам...</s>
Ржавый гвоздь всё стоит, | Он не поддался молотку, | А моей судьбе-судьбине | Всё твержу не пляши под дуду # Утром</s>
Пока в него, | Как в люк | Не провалился. # Вдрызг</s>
Если Я не могу обнимать, | Не со Мной в забытьи прибываешь, | Под дождём уже Нам не стоять, | может с Ней уже капли считаешь? # Если я...</s>
Мы на счету хорошем у людей, | Уважают нас с тобой селяне. | Скоро станешь ты женой моей, | Мы Сыграем свадьбу на поляне. # Никогда отсюда не уеду!</s>
