любимец # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
тачка # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
дача # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
взбалмошная удача # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
преграда # Заходишь в ванну, я как уж | Под дверью пробираясь | Сходя с ума ползу под душ | Тебя слегка касаясь</s>
в ванну # Заходишь в ванну, я как уж | Под дверью пробираясь | Сходя с ума ползу под душ | Тебя слегка касаясь</s>
под дверью # Заходишь в ванну, я как уж | Под дверью пробираясь | Сходя с ума ползу под душ | Тебя слегка касаясь</s>
для любви преграды # Заходишь в ванну, я как уж | Под дверью пробираясь | Сходя с ума ползу под душ | Тебя слегка касаясь</s>
под душ # Заходишь в ванну, я как уж | Под дверью пробираясь | Сходя с ума ползу под душ | Тебя слегка касаясь</s>
у каждого устав # Ленин во многом был прав | Когда говорил, что нужно учиться. | Потому как, у каждого свой устав | Жизнь не летит, а мчится.</s>
во многом # Ленин во многом был прав | Когда говорил, что нужно учиться. | Потому как, у каждого свой устав | Жизнь не летит, а мчится.</s>
жизнь # Ленин во многом был прав | Когда говорил, что нужно учиться. | Потому как, у каждого свой устав | Жизнь не летит, а мчится.</s>
ленин # Ленин во многом был прав | Когда говорил, что нужно учиться. | Потому как, у каждого свой устав | Жизнь не летит, а мчится.</s>
на миг # Своей мечты на миг коснуться, | Куда-нибудь быстрей сбежать, | В конце пути к себе вернуться, | Где от себя не убежать.</s>
путь # Своей мечты на миг коснуться, | Куда-нибудь быстрей сбежать, | В конце пути к себе вернуться, | Где от себя не убежать.</s>
в конце пути # Своей мечты на миг коснуться, | Куда-нибудь быстрей сбежать, | В конце пути к себе вернуться, | Где от себя не убежать.</s>
мечта # Своей мечты на миг коснуться, | Куда-нибудь быстрей сбежать, | В конце пути к себе вернуться, | Где от себя не убежать.</s>
в минуту # Вновь повторять из года в год | В сию минуту, в летний час, | Когда солёный, тёплый пот | Укроет полностью всех нас.</s>
из года # Вновь повторять из года в год | В сию минуту, в летний час, | Когда солёный, тёплый пот | Укроет полностью всех нас.</s>
в год # Вновь повторять из года в год | В сию минуту, в летний час, | Когда солёный, тёплый пот | Укроет полностью всех нас.</s>
соленый , пот # Вновь повторять из года в год | В сию минуту, в летний час, | Когда солёный, тёплый пот | Укроет полностью всех нас.</s>
в летний час # Вновь повторять из года в год | В сию минуту, в летний час, | Когда солёный, тёплый пот | Укроет полностью всех нас.</s>
колосочка # Прошлось по нивам ласковой рукой, | Погладило лучами колосочек. | Потёрлось по реке своей щекой, | И освежившись, сделало глоточек.</s>
по нивам # Прошлось по нивам ласковой рукой, | Погладило лучами колосочек. | Потёрлось по реке своей щекой, | И освежившись, сделало глоточек.</s>
ласковая рука # Прошлось по нивам ласковой рукой, | Погладило лучами колосочек. | Потёрлось по реке своей щекой, | И освежившись, сделало глоточек.</s>
по реке # Прошлось по нивам ласковой рукой, | Погладило лучами колосочек. | Потёрлось по реке своей щекой, | И освежившись, сделало глоточек.</s>
глоточек # Прошлось по нивам ласковой рукой, | Погладило лучами колосочек. | Потёрлось по реке своей щекой, | И освежившись, сделало глоточек.</s>
исцеление # И вот, сентябрь настаёт, | Период обостренья, | Я вижу - девушка идёт, | Дрожу от нетерпенья.</s>
от нетерпенья # И вот, сентябрь настаёт, | Период обостренья, | Я вижу - девушка идёт, | Дрожу от нетерпенья.</s>
сентябрь # И вот, сентябрь настаёт, | Период обостренья, | Я вижу - девушка идёт, | Дрожу от нетерпенья.</s>
обострений # И вот, сентябрь настаёт, | Период обостренья, | Я вижу - девушка идёт, | Дрожу от нетерпенья.</s>
девушка # И вот, сентябрь настаёт, | Период обостренья, | Я вижу - девушка идёт, | Дрожу от нетерпенья.</s>
русский # Власть, русская, всегда живёт, | Народ не замечая! | И для неё Руси народ – | Субстанция чужая!</s>
власть # Власть, русская, всегда живёт, | Народ не замечая! | И для неё Руси народ – | Субстанция чужая!</s>
субстанция # Власть, русская, всегда живёт, | Народ не замечая! | И для неё Руси народ – | Субстанция чужая!</s>
уайльд # Власть, русская, всегда живёт, | Народ не замечая! | И для неё Руси народ – | Субстанция чужая!</s>
предупреждение # Власть, русская, всегда живёт, | Народ не замечая! | И для неё Руси народ – | Субстанция чужая!</s>
помощь # И этаких не мало, богу ей | Они там мечутся и ждут | Увы, не выйдет поскорей | А вскоре помощь не дадут</s>
талая весенняя вода # Вдоволь тогда насладишься | Талой весенней водой, | И в мае опять возродишься, | Сразив этот мир красотой.</s>
в мае # Вдоволь тогда насладишься | Талой весенней водой, | И в мае опять возродишься, | Сразив этот мир красотой.</s>
красота # Вдоволь тогда насладишься | Талой весенней водой, | И в мае опять возродишься, | Сразив этот мир красотой.</s>
от зимы # Вдоволь тогда насладишься | Талой весенней водой, | И в мае опять возродишься, | Сразив этот мир красотой.</s>
мир # Вдоволь тогда насладишься | Талой весенней водой, | И в мае опять возродишься, | Сразив этот мир красотой.</s>
причина # Сердце сжалось от тоски, | На душе кручина, | Вот в чём дело, мужики, | Вот она - причина.</s>
сердце # Сердце сжалось от тоски, | На душе кручина, | Вот в чём дело, мужики, | Вот она - причина.</s>
на душе кручина # Сердце сжалось от тоски, | На душе кручина, | Вот в чём дело, мужики, | Вот она - причина.</s>
кручина # Сердце сжалось от тоски, | На душе кручина, | Вот в чём дело, мужики, | Вот она - причина.</s>
от тоски # Сердце сжалось от тоски, | На душе кручина, | Вот в чём дело, мужики, | Вот она - причина.</s>
к обеду # Весной с капризами погода: | К обеду тает, к ночи холодит. | Бывает также у народа: | Мужик трудяга, а хитрец хитрит.</s>
трудяга # Весной с капризами погода: | К обеду тает, к ночи холодит. | Бывает также у народа: | Мужик трудяга, а хитрец хитрит.</s>
у народа # Весной с капризами погода: | К обеду тает, к ночи холодит. | Бывает также у народа: | Мужик трудяга, а хитрец хитрит.</s>
с капризами # Весной с капризами погода: | К обеду тает, к ночи холодит. | Бывает также у народа: | Мужик трудяга, а хитрец хитрит.</s>
первый день # Весной с капризами погода: | К обеду тает, к ночи холодит. | Бывает также у народа: | Мужик трудяга, а хитрец хитрит.</s>
душа # Чувствуешь, я слово не нарушу. | Чувствую, отправишься за мной: | Мысли о тебе тревожат душу, | Но тревогой ласковой, родной.</s>
слово # Чувствуешь, я слово не нарушу. | Чувствую, отправишься за мной: | Мысли о тебе тревожат душу, | Но тревогой ласковой, родной.</s>
мысль # Чувствуешь, я слово не нарушу. | Чувствую, отправишься за мной: | Мысли о тебе тревожат душу, | Но тревогой ласковой, родной.</s>
путь # Если ж всё же любовь заглянула, | Попытайся её удержать, | А затем, чтоб она не уснула, | Ей сумей настроенье поднять!</s>
с тревогой # Если ж всё же любовь заглянула, | Попытайся её удержать, | А затем, чтоб она не уснула, | Ей сумей настроенье поднять!</s>
суметь # Если ж всё же любовь заглянула, | Попытайся её удержать, | А затем, чтоб она не уснула, | Ей сумей настроенье поднять!</s>
любовь # Если ж всё же любовь заглянула, | Попытайся её удержать, | А затем, чтоб она не уснула, | Ей сумей настроенье поднять!</s>
настроенье # Если ж всё же любовь заглянула, | Попытайся её удержать, | А затем, чтоб она не уснула, | Ей сумей настроенье поднять!</s>
в карманы # Мои строки грубоваты | Когда я пишу про власть | Наступает день зарплаты | Только что в карманы класть!?</s>
зарплата # Мои строки грубоваты | Когда я пишу про власть | Наступает день зарплаты | Только что в карманы класть!?</s>
про власть # Мои строки грубоваты | Когда я пишу про власть | Наступает день зарплаты | Только что в карманы класть!?</s>
ребенок # Мои строки грубоваты | Когда я пишу про власть | Наступает день зарплаты | Только что в карманы класть!?</s>
строка # Мои строки грубоваты | Когда я пишу про власть | Наступает день зарплаты | Только что в карманы класть!?</s>
к ушибам трудом # Я упала на землю из рая. | Без тебя разве в нём удержаться? | И к ушибам с трудом привыкая, | Не ранимой пытаюсь казаться.</s>
на землю # Я упала на землю из рая. | Без тебя разве в нём удержаться? | И к ушибам с трудом привыкая, | Не ранимой пытаюсь казаться.</s>
с трудом # Я упала на землю из рая. | Без тебя разве в нём удержаться? | И к ушибам с трудом привыкая, | Не ранимой пытаюсь казаться.</s>
ранить # Я упала на землю из рая. | Без тебя разве в нём удержаться? | И к ушибам с трудом привыкая, | Не ранимой пытаюсь казаться.</s>
из рая # Я упала на землю из рая. | Без тебя разве в нём удержаться? | И к ушибам с трудом привыкая, | Не ранимой пытаюсь казаться.</s>
трепетание # Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…</s>
от ласки # Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…</s>
по утрам # Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…</s>
признание # Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…</s>
солнце # Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…</s>
сложный вопрос # И сложных не было вопросов, | когда вбегали внутрь зари | в праматерь - воду, где у плесов | щекочут ноги пескари.</s>
в праматерь # И сложных не было вопросов, | когда вбегали внутрь зари | в праматерь - воду, где у плесов | щекочут ноги пескари.</s>
пескарь # И сложных не было вопросов, | когда вбегали внутрь зари | в праматерь - воду, где у плесов | щекочут ноги пескари.</s>
внутрь зари # И сложных не было вопросов, | когда вбегали внутрь зари | в праматерь - воду, где у плесов | щекочут ноги пескари.</s>
вода , где # И сложных не было вопросов, | когда вбегали внутрь зари | в праматерь - воду, где у плесов | щекочут ноги пескари.</s>
мозг # Впечатляет ваш мозг креативный, | Занесённый вам также в актив, | Да и орган ваш репродуктивный | Навевает сплошной позитив…</s>
сплошной позитив # Впечатляет ваш мозг креативный, | Занесённый вам также в актив, | Да и орган ваш репродуктивный | Навевает сплошной позитив…</s>
орган репродуктивный # Впечатляет ваш мозг креативный, | Занесённый вам также в актив, | Да и орган ваш репродуктивный | Навевает сплошной позитив…</s>
в актив # Впечатляет ваш мозг креативный, | Занесённый вам также в актив, | Да и орган ваш репродуктивный | Навевает сплошной позитив…</s>
на земле # На земле Зима, | И метёт метель. | Правит ночи тьма. | Да мороза хмель.</s>
метель # На земле Зима, | И метёт метель. | Правит ночи тьма. | Да мороза хмель.</s>
мороз # На земле Зима, | И метёт метель. | Правит ночи тьма. | Да мороза хмель.</s>
зима # На земле Зима, | И метёт метель. | Правит ночи тьма. | Да мороза хмель.</s>
править # На земле Зима, | И метёт метель. | Правит ночи тьма. | Да мороза хмель.</s>
весть # По внешнему сужу о внутреннем, | А то, что внутрь - не замечается, | И ни в ночи, не в свете утреннем, | Весть, хоть и есть - не наблюдается.</s>
