Пылай, полыхай, греши, | захлебывайся собой. | Как менада пляши | с закушенной губой.
Веселись, душа, веселись, | не жалей себя, не жалей, | не стыдись любви, не стыдись, | заболей ею вновь, заболей.
Душу чистой и лучистой | Сохранить Вам помогают ... | От действительности мглистой | Безнадёжно укрывают ...
Сегодня, пока ещё жив ветеран, | Но явно, увы, умирает, | В себя уходя от полученных ран, | Которых никто не считает ?..
Между тем как паладины | В встречу трепетным врагам | По равнинам Палестины | Мчались, именуя дам
Когда же постареть сумела, | Глядит другая из зеркал, | Седины пышут очумело, | Печальный близится финал.
Только в урны окурки бросай. | Если можешь, совсем не кури. | Если хочешь, верь в бога и в рай, | запотевшие стёкла протри.
Слиянье тел, божественной истомой, | Любви цветенье, запахов дурман, | Вскипанье в бёдрах, силой невесомой, | Рождают жизненный, святой обман.
Здесь красных больше нет, | Война не за народ. | Минует сотня лет, | Всё тот же хоровод.
огонь анархии пылает | где алчность как кровавый ключ | и сердце ярость поджигает | душа черней свинцовых туч
Только мама отказала | потому, что у неё | денег вовсе не хватало. | Нет работы у неё.
И начав в нас святое дело, | Не бросит, не оставит нас, | Переноси страданье смело, | Для радости наступит час!
Ты навсегда неповторима, | Светланочка, ты знай о том, | Твоя душа без зла и грима | Наполнила блаженством дом.
А уж, какая юбиляр певунья! | Да, честно говоря, и говорунья! | Душевна, но в душевности не лгунья! | А в пожеланьях фея и колдунья!
И жизнь вся словно не менялась, | И также движется вперёд, | Лишь только «Я» без «ТЫ» осталось, | Приняв нежданный оборот.
Тишина ласкает душу. | Час зари придёт вставать. | Покой сердца не нарушу. | Ночь – такая благодать!
Им вторят рифмоплёты злые, | Рифмуя строчки без души. | И льются в мир дела пустые, | С одной лишь целью - барыши.
Ревную и тобой болею | А как ту боль лечить не знаю. | Быть без тебя я не сумею | И многое тебе прощаю.
Мне ситец платья не забыть | И цвет лица такой румяный, | Так только в сказке может быть | И запах ручек нежно-пряный.
Вьюге все неймется, | Знай стучит в окно. | И в трубу смеется | С ведьмой заодно.
Это - руку протянуть , | Этим помощь оказать | И в проблем вникая суть , | Вам необходимым стать .
Да, Землю должно почитать | И обращаться нежно с Ней: | Не то же ль, что родная мать, | Земля для любящих детей?
И здесь звезда оставит след | Зловонный, дымный, из огней, | Но если всё пройдёт сквозь Свет, | То шансы есть свести к ничьей…
Я как будто бы ранен временем, | Пролетающим сквозь меня, | Обжигающим мысли бременем, | Неприступной стеной огня.
Молча Ты бредешь по склонам, | оставляя тайный след, | мне светящий вечным лоном, | как живительный завет.
Они вмещаются едва | В газетные столбцы, | И собирает их Москва, | Где сходятся концы.
Когда боишься опоздать - | Недолюбить, расстаться. | Когда так правильно мечтать, | В любви хотеть признаться.
-О, как ты, мама, постарела! | Прости, что сразу не узнал. | Я виноват, но рад всецело, | Что все ж тебя я отыскал!
Ожидание обмана, | В этот день приходит рано, | Говоришь ты мне туманно, | Ждём апрельского капкана.
Бездонное небо ночное | Чернеет в проёме окна, | Где звёзд отраженье свечное | Замазала кистью весна.
Его рука в твоей руке. | Дыханье делите вдвоем, | И даже спать на потолке, | Стает удобней с каждым днем.
Люди ищут друг друга годами, | Но проходят мимо порой, | Потому лишь, что ищут глазами, | А не сердцем своим и душой.
Разбредание стало манерой | чувства, мысли и дух охлаждать. | Ожиданье по ветру фанерой- | а куда, ты сумей отгадать.
Не найти в сердцах покой, | Ревностью томиться, | Да в очах его с игрой, | Счастьем не напиться.
Но знаем, что нужны мы | Без нас нельзя никак | Стараться все должны мы | Работа- не пустяк
Мужчине, кто дарить цветы, | Способен в будни, в дни рождений, | Кто дарит женщине мечты, | Плечо подставит в день осенний.
Проходят дни, а мчится время, | Кружатся головы мужчин: | Восьмое марта для гарема – | Причина приступов, кончин.
Вот такие творятся дела: | Все дороги снега замели. | Не сумел я уйти из села | На другую сторонку земли.
В Зазеркалье жизнь возможна, | Но, пожалуй, не для нас. | Там всё сложно или ложно? | Там течёт иначе час.
О, где вы мои лейтенанты, | И советники тайные где, | Гусары, министры, инфанты? | Растворились круги на воде.
О , эта стройная фигура ! | Лицо – обвороженье . | И муза вроде как не дура | Навеять изложенье .
